page_path,topic,tag,clicks_90d,ca_clicks_90d,impressions_90d,position,links,first_link_words,total_words,topic_epc,est_monthly_earnings,weak_cta,opportunity_monthly
"/blog/crossfire-bed-bug-concentrate-review-canada","bedbug","buzzskito-bedbug-20","85","59","3763","6.8","10","283","2158","0.19","1.02","","0"
"/blog/best-cockroach-spray-canada","roach","buzzskito-roach-20","107","75","12070","8.9","14","644","4790","0.15","1.01","first link at word 644","0.71"
"/blog/how-much-does-tick-treatment-cost-ontario","tick","buzzskito200b-20","20","14","997","6.3","0","","1567","0.78","0.98","no links","0.98"
"/blog/why-do-mosquito-bites-itch","mosquito","buzzskito-mosquito-20","193","135","65234","7","7","520","6391","0.08","0.97","","0"
"/blog/mosquito-season-gta-when-does-it-start","mosquito","buzzskito-mosquito-20","185","129","22512","4.7","9","384","1594","0.08","0.93","","0"
"/blog/flea-bites-on-humans","general","buzzskito-general-20","98","69","23893","8.5","9","2504","78","0.14","0.86","first link at word 2504","0.6"
"/blog/best-mosquito-repellent-device-canada","mosquito","buzzskito-mosquito-20","166","116","15622","8.6","22","85","2136","0.08","0.84","","0"
"/blog/what-eats-ticks-and-mosquitoes","tick","buzzskito-tick-20","17","12","6550","8.1","6","410","1765","0.78","0.83","","0"
"/pest-product-guides/bed-bug-control","bedbug","buzzskito200b-20","68","48","3224","6.4","0","","233","0.19","0.81","no links","0.81"
"/blog/bed-bug-mattress-encasement-canada","bedbug","buzzskito-bedbug-20","67","47","7501","8.4","7","326","2462","0.19","0.8","","0"
"/blog/do-ticks-die-in-the-washing-machine","tick","buzzskito-tick-20","16","11","4644","6.1","1","1475","1744","0.78","0.79","first link at word 1475","0.55"
"/blog/what-does-tick-look-like-on-dog","tick","buzzskito-tick-20","16","11","3297","10.2","2","842","1024","0.78","0.79","first link at word 842","0.55"
"/blog/best-live-animal-trap-canada","wildlife","buzzskito-wildlife-20","23","16","2458","6.9","5","1299","2173","0.54","0.78","first link at word 1299","0.55"
"/blog/best-raccoon-live-trap-canada","wildlife","buzzskito-wildlife-20","23","16","2900","8.6","10","426","2563","0.54","0.78","","0"
"/blog/bugs-that-look-like-bed-bugs-canada","bedbug","buzzskito-bedbug-20","64","45","5710","7.8","7","485","3808","0.19","0.77","","0"
"/blog/how-to-get-rid-of-wasps-canada","wasp","buzzskito-wasp-20","110","77","12527","9.4","6","284","2307","0.11","0.76","","0"
"/blog/rat-poison-canada-what-is-legal","rodent","buzzskito-rodent-20","171","120","6942","5.8","11","135","1993","0.07","0.75","","0"
"/blog/lyme-disease-cases-mississauga-oakville-2026","tick","buzzskito-tick-20","14","10","392","7.4","1","2489","2522","0.78","0.69","first link at word 2489","0.48"
"/blog/lyme-disease-cases-ontario-2026","tick","buzzskito200b-20","14","10","639","18.8","0","","1262","0.78","0.69","no links","0.69"
"/blog/tick-control-ancaster-dundas-hamilton","tick","buzzskito200b-20","14","10","720","12.3","0","","1417","0.78","0.69","no links","0.69"
"/blog/bed-bugs-on-the-ttc-toronto","bedbug","buzzskito-bedbug-20","57","40","1785","5.9","5","1405","2672","0.19","0.68","first link at word 1405","0.48"
"/blog/tick-head-stuck-in-skin","tick","buzzskito-tick-20","13","9","3013","12.7","4","404","1582","0.78","0.64","","0"
"/blog/best-spider-spray-canada","general","buzzskito-general-20","71","50","4764","7.2","15","449","2985","0.14","0.63","","0"
"/blog/best-bed-bug-powder-canada","bedbug","buzzskito-bedbug-20","52","36","2086","6.1","8","424","2224","0.19","0.62","","0"
"/blog/bed-bug-bites","bedbug","buzzskito-bedbug-20","51","36","13516","9.1","4","1545","539","0.19","0.61","first link at word 1545","0.43"
"/blog/bed-bug-heater-canada","bedbug","buzzskito-bedbug-20","51","36","2414","8.6","11","495","2949","0.19","0.61","","0"
"/blog/how-to-get-rid-of-centipedes-canada","general","buzzskito-general-20","67","47","12075","8.3","13","439","5274","0.14","0.59","","0"
"/blog/lone-star-tick-alpha-gal-canada","tick","buzzskito-tick-20","12","8","3101","7.7","1","1867","1904","0.78","0.59","first link at word 1867","0.41"
"/blog/cimexa-bed-bug-review-canada","bedbug","buzzskito-bedbug-20","48","34","2416","6.5","7","311","2580","0.19","0.57","","0"
"/blog/deer-tick-vs-dog-tick-canada","tick","buzzskito-tick-20","11","8","7196","8.9","3","1258","1516","0.78","0.54","first link at word 1258","0.38"
"/blog/ontario-tick-surge-2026","tick","buzzskito200b-20","11","8","919","6.6","0","","1134","0.78","0.54","no links","0.54"
"/blog/what-percentage-of-ticks-carry-lyme-ontario","tick","buzzskito200b-20","11","8","1425","5.9","0","","1553","0.78","0.54","no links","0.54"
"/blog/best-rat-trap-canada","rodent","buzzskito-rodent-20","117","82","12675","8.2","8","93","7308","0.07","0.52","","0"
"/blog/best-raccoon-proof-roof-vent-covers-canada","wildlife","buzzskito-wildlife-20","15","10","654","7.1","7","585","2404","0.54","0.51","","0"
"/blog/how-long-does-mosquito-spray-last","mosquito","buzzskito-mosquito-20","98","69","20793","6","8","292","1534","0.08","0.49","","0"
"/blog/thermacell-e90-canada-review","mosquito","buzzskito-mosquito-20","96","67","5761","6.2","10","86","2206","0.08","0.48","","0"
"/blog/best-yellow-jacket-trap-canada","wasp","buzzskito-wasp-20","68","48","7330","8.1","10","94","2144","0.11","0.47","","0"
"/blog/best-flea-spray-for-home-canada","general","buzzskito-general-20","51","36","5102","7.9","10","545","4176","0.14","0.45","","0"
"/blog/how-to-keep-ticks-out-of-yard-ontario","tick","buzzskito-tick-20","9","6","995","12.7","3","1023","62","0.78","0.44","first link at word 1023","0.31"
"/blog/best-bed-bug-detector-canada","bedbug","buzzskito-bedbug-20","35","24","1673","8.8","9","451","2574","0.19","0.42","","0"
"/blog/best-bed-bug-trap-canada","bedbug","buzzskito-bedbug-20","35","24","2037","8.7","9","521","2620","0.19","0.42","","0"
"/blog/best-solar-bug-zapper-canada","general","buzzskito-general-20","47","33","3706","7.4","11","226","1871","0.14","0.41","","0"
"/blog/why-do-mosquitoes-bite-my-ankles","mosquito","buzzskito-mosquito-20","79","55","17090","5.4","7","1656","2154","0.08","0.4","first link at word 1656","0.28"
"/blog/is-mosquito-spray-safe-kids-pets","mosquito","buzzskito-mosquito-20","78","55","16124","8","11","321","2208","0.08","0.39","","0"
"/blog/konk-bed-bug-killer-review-canada","bedbug","buzzskito-bedbug-20","32","22","2139","6","10","270","2545","0.19","0.38","","0"
"/blog/mosquito-repellent-plants-ontario","mosquito","buzzskito-mosquito-20","74","52","8269","7.7","7","461","1482","0.08","0.37","","0"
"/blog/bed-bug-bites-vs-mosquito-bites","bedbug","buzzskito-bedbug-20","30","21","5501","9","9","904","3458","0.19","0.36","first link at word 904","0.25"
"/blog/bed-bug-interceptor-traps-canada","bedbug","buzzskito-bedbug-20","30","21","2926","8.3","6","344","2412","0.19","0.36","","0"
"/blog/best-roach-traps-canada","roach","buzzskito-roach-20","38","27","4179","9","15","517","3957","0.15","0.36","","0"
"/blog/how-to-get-rid-of-cockroaches-canada","roach","buzzskito-roach-20","38","27","5727","10.3","10","544","3363","0.15","0.36","","0"
"/blog/best-thermal-fogger-canada","fogger","buzzskito-fogger-20","29","20","1640","5.9","8","269","2294","0.19","0.35","","0"
"/blog/black-flag-electric-fogger-review-canada","fogger","buzzskito-fogger-20","29","20","1259","7.4","9","272","2229","0.19","0.35","","0"
"/blog/co2-mosquito-trap-canada","mosquito","buzzskito-mosquito-20","69","48","3131","7.2","10","88","1929","0.08","0.35","","0"
"/blog/do-tiki-torches-repel-mosquitoes","mosquito","buzzskito-mosquito-20","69","48","11653","6.7","9","249","1777","0.08","0.35","","0"
"/blog/wondercide-canada-review","general","buzzskito-general-20","40","28","3249","6.1","14","127","1870","0.14","0.35","","0"
"/blog/are-ticks-arachnids-or-insects","tick","buzzskito-tick-20","7","5","3779","7","3","1010","1124","0.78","0.34","first link at word 1010","0.24"
"/blog/bed-bug-shells-casings-shed-skins-canada","bedbug","buzzskito-bedbug-20","28","20","5495","7.7","10","541","3118","0.19","0.33","","0"
"/blog/best-bed-bug-spray-for-mattress-canada","bedbug","buzzskito-bedbug-20","28","20","3856","9.1","17","433","6075","0.19","0.33","","0"
"/blog/best-bug-spray-for-kids-canada","general","buzzskito-general-20","37","26","5284","8.8","12","449","1419","0.14","0.33","","0"
"/blog/how-to-get-rid-of-silverfish-canada","general","buzzskito-general-20","37","26","2641","7","11","898","3125","0.14","0.33","first link at word 898","0.23"
"/blog/ortho-home-defense-canada-review","general","buzzskito-general-20","38","27","6259","6.9","13","264","1937","0.14","0.33","","0"
"/blog/best-deer-fence-for-gardens-canada","wildlife","buzzskito-wildlife-20","9","6","591","14.6","9","941","2548","0.54","0.31","first link at word 941","0.21"
"/blog/best-flea-bomb-canada","general","buzzskito-general-20","33","23","2594","7.9","14","971","4659","0.14","0.29","first link at word 971","0.2"
"/blog/best-hepa-vacuum-for-bed-bugs-and-fleas-canada","bedbug","buzzskito-bedbug-20","23","16","735","5.5","9","464","2680","0.19","0.28","","0"
"/blog/diatomaceous-earth-for-bed-bugs","bedbug","buzzskito-bedbug-20","23","16","2931","8.4","6","380","1868","0.19","0.28","","0"
"/blog/best-indoor-fly-mosquito-trap-canada","mosquito","buzzskito-mosquito-20","53","37","2960","7","10","356","1565","0.08","0.27","","0"
"/blog/doktor-doom-canada-guide","general","buzzskito-general-20","29","20","3348","6.8","9","1569","3432","0.14","0.26","first link at word 1569","0.18"
"/blog/best-earwig-killer-canada","general","buzzskito-general-20","28","20","2621","8.1","16","542","4031","0.14","0.25","","0"
"/blog/blacklegged-deer-tick-ontario","tick","buzzskito-tick-20","5","3","740","13.2","3","1214","1490","0.78","0.25","first link at word 1214","0.17"
"/blog/do-ticks-fly-or-jump","tick","buzzskito-tick-20","5","3","725","6.6","3","817","860","0.78","0.25","first link at word 817","0.17"
"/blog/electric-fly-swatter","general","buzzskito-general-20","28","20","2329","8.5","13","96","2173","0.14","0.25","","0"
"/blog/tick-tubes-canada","tick","buzzskito-tick-20","5","3","735","7.8","4","383","2092","0.78","0.25","","0"
"/pest-product-guides/tick-gear","tick","buzzskito200b-20","5","3","317","15","0","","252","0.78","0.25","no links","0.25"
"/blog/how-to-get-rid-of-carpet-beetles-canada","general","buzzskito-general-20","27","19","2930","10.2","15","469","3693","0.14","0.24","","0"
"/blog/rescue-why-trap-review-canada","general","buzzskito-general-20","27","19","3292","6.8","11","270","2574","0.14","0.24","","0"
"/blog/thermacell-canada-where-to-buy","mosquito","buzzskito-mosquito-20","48","34","27407","8.8","12","244","2347","0.08","0.24","","0"
"/blog/best-bed-bug-fogger-canada","bedbug","buzzskito-bedbug-20","19","13","1540","8.2","10","466","2347","0.19","0.23","","0"
"/blog/bed-bug-heat-treatment-diy-canada","bedbug","buzzskito-bedbug-20","18","13","1390","12.2","8","440","2555","0.19","0.22","","0"
"/blog/how-to-keep-mice-out-of-your-car","rodent","buzzskito-rodent-20","50","35","6001","10.6","14","604","3537","0.07","0.22","first link at word 604","0.15"
"/blog/mouse-bait-station-canada","rodent","buzzskito-rodent-20","49","34","2998","5.6","7","273","1998","0.07","0.22","","0"
"/blog/best-sump-pump-for-basement-canada","general","buzzskito-general-20","24","17","1289","8.6","15","70","2353","0.14","0.21","","0"
"/blog/are-there-ticks-in-canada","tick","buzzskito200b-20","4","3","1023","11.1","0","","1985","0.78","0.2","no links","0.2"
"/blog/best-bed-bug-spray-for-travel-canada","bedbug","buzzskito-bedbug-20","17","12","823","6.6","9","439","2425","0.19","0.2","","0"
"/blog/best-ulv-cold-fogger-canada","fogger","buzzskito-fogger-20","17","12","782","10.8","9","447","2209","0.19","0.2","","0"
"/blog/best-wasp-trap","wasp","buzzskito-wasp-20","29","20","2526","7.8","12","91","2972","0.11","0.2","","0"
"/blog/ecoraider-bed-bug-spray-review-canada","bedbug","buzzskito-bedbug-20","17","12","441","6.2","8","284","3029","0.19","0.2","","0"
"/blog/mosquito-tick-control-hamilton-burlington","tick","buzzskito200b-20","4","3","945","9","0","","863","0.78","0.2","no links","0.2"
"/blog/raccoon-and-skunk-proofing-under-a-deck-canada","wildlife","buzzskito-wildlife-20","6","4","581","5.5","4","1546","2415","0.54","0.2","first link at word 1546","0.14"
"/blog/raccoon-proof-chimney-cap-canada","wildlife","buzzskito-wildlife-20","6","4","138","8.2","10","500","2295","0.54","0.2","","0"
"/blog/what-does-mouse-poop-look-like-canada","rodent","buzzskito-rodent-20","45","31","13466","7.4","9","521","6503","0.07","0.2","","0"
"/blog/flowtron-bug-zapper-canada","general","buzzskito-general-20","21","15","3784","7.2","6","243","1851","0.14","0.19","","0"
"/blog/smells-mosquitoes-hate","mosquito","buzzskito-mosquito-20","38","27","7384","4.6","9","281","1336","0.08","0.19","","0"
"/blog/thermalstrike-ranger-review-canada","bedbug","buzzskito-bedbug-20","16","11","528","6","8","305","2619","0.19","0.19","","0"
"/blog/mosquito-repellent-bracelets-canada","mosquito","buzzskito-mosquito-20","36","25","4111","8","11","448","1648","0.08","0.18","","0"
"/blog/doktor-doom-sleep-tight-review-canada","bedbug","buzzskito-bedbug-20","14","10","824","5.6","8","280","2141","0.19","0.17","","0"
"/blog/how-to-stop-deer-eating-cedars-ontario","wildlife","buzzskito-wildlife-20","5","3","316","4.9","8","761","2388","0.54","0.17","first link at word 761","0.12"
"/blog/june-bugs-ontario","general","buzzskito-general-20","19","13","3530","6.4","3","1229","1542","0.14","0.17","first link at word 1229","0.12"
"/blog/male-vs-female-mosquito","mosquito","buzzskito-mosquito-20","34","24","27253","7.9","4","1082","1369","0.08","0.17","first link at word 1082","0.12"
"/blog/raccoon-deterrent","wildlife","buzzskito-wildlife-20","5","3","487","7.2","9","305","2738","0.54","0.17","","0"
"/blog/best-air-purifier-for-dust-mites-canada","airpurifier","buzzskito-airpurifier-20","13","9","1183","8","7","594","1860","0.19","0.16","","0"
"/blog/best-gas-backpack-fogger-canada","fogger","buzzskito-fogger-20","13","9","731","8","9","470","2223","0.19","0.16","","0"
"/blog/best-professional-mosquito-trap-canada","mosquito","buzzskito-mosquito-20","32","22","1295","10.8","11","457","2703","0.08","0.16","","0"
"/blog/diatomaceous-earth-canada-buyers-guide","general","buzzskito-general-20","18","13","1273","6.6","9","564","2030","0.14","0.16","","0"
"/blog/katchy-indoor-insect-trap-review-canada","general","buzzskito-general-20","18","13","3063","6.7","13","88","2302","0.14","0.16","","0"
"/blog/american-dog-tick-canada","tick","buzzskito-tick-20","3","2","260","11","3","714","1119","0.78","0.15","first link at word 714","0.1"
"/blog/how-to-do-a-tick-check","tick","buzzskito-tick-20","3","2","91","7.3","3","1336","1443","0.78","0.15","first link at word 1336","0.1"
"/blog/tick-bite-symptoms-what-to-do-ontario","tick","buzzskito-tick-20","3","2","690","14.4","3","535","1377","0.78","0.15","","0"
"/blog/what-does-a-tick-bite-look-like","tick","buzzskito-tick-20","3","2","1155","9","3","956","50","0.78","0.15","first link at word 956","0.1"
"/blog/do-bed-bug-sprays-actually-work","bedbug","buzzskito-bedbug-20","12","8","1370","8.2","6","1028","2054","0.19","0.14","first link at word 1028","0.1"
"/blog/how-to-get-rid-of-earwigs-canada","general","buzzskito-general-20","15","10","1607","8.8","6","1081","4853","0.14","0.13","first link at word 1081","0.09"
"/blog/best-bed-bug-luggage-heater-canada","bedbug","buzzskito-bedbug-20","10","7","405","10.3","11","117","2526","0.19","0.12","","0"
"/blog/how-to-get-rid-of-boxelder-bugs-canada","general","buzzskito-general-20","14","10","2423","10.5","11","610","5177","0.14","0.12","first link at word 610","0.09"
"/blog/mosquito-magnet-vs-dynatrap-canada","mosquito","buzzskito-mosquito-20","24","17","1441","6.4","9","437","2446","0.08","0.12","","0"
"/blog/propane-vs-electric-fogger-canada","fogger","buzzskito-fogger-20","10","7","559","6.4","7","409","2016","0.19","0.12","","0"
"/blog/rodent-exclusion-kit-canada","rodent","buzzskito-rodent-20","27","19","1989","6.9","12","486","3200","0.07","0.12","","0"
"/blog/what-blood-type-do-mosquitoes-bite","mosquito","buzzskito-mosquito-20","23","16","16608","9","4","3574","4980","0.08","0.12","first link at word 3574","0.08"
"/blog/zappbug-heater-review-canada","bedbug","buzzskito-bedbug-20","10","7","1012","7.6","8","295","2296","0.19","0.12","","0"
"/blog/best-centipede-killer-canada","general","buzzskito-general-20","13","9","1886","10.5","20","532","3825","0.14","0.11","","0"
"/blog/how-to-get-rid-of-carpenter-bees-canada","general","buzzskito-general-20","12","8","1005","9","14","697","3045","0.14","0.11","first link at word 697","0.07"
"/blog/best-atv-sprayer-for-tick-yard-canada","tick","buzzskito-tick-20","2","1","335","9.5","9","467","2194","0.78","0.1","","0"
"/blog/best-cordless-fogger-canada","fogger","buzzskito-fogger-20","8","6","470","6.2","9","428","2429","0.19","0.1","","0"
"/blog/how-to-get-rid-of-mosquitoes-in-yard-ontario","mosquito","buzzskito-mosquito-20","19","13","2572","17.7","4","732","81","0.08","0.1","first link at word 732","0.07"
"/blog/how-to-remove-tick-safely","tick","buzzskito-tick-20","2","1","225","31.3","5","286","1087","0.78","0.1","","0"
"/blog/i-found-tick-on-my-dog-what-to-do","tick","buzzskito-tick-20","2","1","395","5.7","4","578","1118","0.78","0.1","","0"
"/blog/mosquito-tick-control-stoney-creek","tick","buzzskito200b-20","2","1","345","22.7","0","","1022","0.78","0.1","no links","0.1"
"/blog/packtite-portable-review-canada","bedbug","buzzskito-bedbug-20","8","6","226","5.2","9","276","2265","0.19","0.1","","0"
"/learn/ontario-mosquito-tick-diseases","tick","buzzskito200b-20","2","1","282","7.6","0","","28","0.78","0.1","no links","0.1"
"/blog/best-mouse-trap-canada","rodent","buzzskito-rodent-20","20","14","2179","10.3","9","87","2055","0.07","0.09","","0"
"/blog/how-to-get-rid-of-mosquitoes-in-the-house","mosquito","buzzskito-mosquito-20","17","12","2456","9","4","2028","2309","0.08","0.09","first link at word 2028","0.06"
"/blog/how-to-get-rid-of-voles-canada","rodent","buzzskito-rodent-20","21","15","1416","9.5","10","746","3735","0.07","0.09","first link at word 746","0.06"
"/blog/mosquito-coils-canada","mosquito","buzzskito-mosquito-20","18","13","4369","10.2","11","455","1784","0.08","0.09","","0"
"/blog/thermacell-refills-recharge-canada","mosquito","buzzskito-mosquito-20","17","12","3455","8.3","6","383","1218","0.08","0.09","","0"
"/blog/best-mosquito-trap-for-acreage-canada","mosquito","buzzskito-mosquito-20","16","11","591","7.6","10","448","2247","0.08","0.08","","0"
"/blog/bug-protective-clothing-canada","general","buzzskito-general-20","9","6","828","10.1","8","333","2397","0.14","0.08","","0"
"/blog/citronella-candles-canada-do-they-work","mosquito","buzzskito-mosquito-20","15","10","3219","8","9","394","1389","0.08","0.08","","0"
"/blog/harris-bed-bug-killer-review-canada","bedbug","buzzskito-bedbug-20","7","5","643","7","8","306","2656","0.19","0.08","","0"
"/blog/how-to-get-rid-of-bed-bugs-in-couch-canada","bedbug","buzzskito-bedbug-20","7","5","673","9.4","8","438","2536","0.19","0.08","","0"
"/blog/how-to-keep-spiders-out-of-your-house","general","buzzskito-general-20","9","6","1249","9.2","10","926","2852","0.14","0.08","first link at word 926","0.06"
"/blog/knock-down-bed-bug-killer-review-canada","bedbug","buzzskito-bedbug-20","7","5","250","6.4","9","287","2365","0.19","0.08","","0"
"/blog/what-kills-bed-bugs-instantly-canada","bedbug","buzzskito-bedbug-20","7","5","2784","10.5","7","1352","3596","0.19","0.08","first link at word 1352","0.06"
"/blog/baby-bed-bugs-nymphs","bedbug","buzzskito-bedbug-20","6","4","1504","7.7","6","1299","3358","0.19","0.07","first link at word 1299","0.05"
"/blog/best-patio-heater-canada","general","buzzskito-general-20","8","6","576","7.1","11","423","2232","0.14","0.07","","0"
"/blog/mosquito-bite-treatment-relief","mosquito","buzzskito-mosquito-20","13","9","5041","14.2","5","565","1558","0.08","0.07","","0"
"/blog/mosquito-season-scarborough-east-toronto","mosquito","buzzskito200b-20","14","10","1328","7.7","0","","815","0.08","0.07","no links","0.07"
"/blog/ultimate-backyard-mosquito-control-guide","mosquito","buzzskito-mosquito-20","14","10","1865","8.8","4","1012","1379","0.08","0.07","first link at word 1012","0.05"
"/blog/when-to-worry-about-a-mosquito-bite","mosquito","buzzskito200b-20","13","9","3129","10.4","0","","1518","0.08","0.07","no links","0.07"
"/blog/bed-bug-treatment-cost-canada","bedbug","buzzskito-bedbug-20","5","3","2237","10.4","4","1111","2372","0.19","0.06","first link at word 1111","0.04"
"/blog/bed-bugs-in-a-car-heat-treatment-canada","bedbug","buzzskito-bedbug-20","5","3","368","6.3","5","698","2308","0.19","0.06","first link at word 698","0.04"
"/blog/best-pest-control-equipment-canada","general","buzzskito-general-20","7","5","550","8.7","12","450","2321","0.14","0.06","","0"
"/blog/best-wasp-killer-canada","wasp","buzzskito-wasp-20","8","6","237","4.9","6","475","1987","0.11","0.06","","0"
"/blog/how-to-get-rid-of-rats-canada","rodent","buzzskito-rodent-20","13","9","1331","11.9","12","447","3230","0.07","0.06","","0"
"/blog/is-deet-safe","mosquito","buzzskito200b-20","11","8","3390","7.6","0","","1607","0.08","0.06","no links","0.06"
"/blog/natural-eco-friendly-mosquito-control-ontario","mosquito","buzzskito-mosquito-20","11","8","1128","9.2","4","246","1237","0.08","0.06","","0"
"/blog/off-deep-woods-deet-bug-spray-canada","mosquito","buzzskito-mosquito-20","12","8","2670","6.6","8","438","1384","0.08","0.06","","0"
"/blog/packtite-closet-review-canada","bedbug","buzzskito-bedbug-20","5","3","140","6.2","9","303","2275","0.19","0.06","","0"
"/blog/steamer-vs-heater-for-bed-bugs-canada","bedbug","buzzskito-bedbug-20","5","3","512","9.9","6","469","2366","0.19","0.06","","0"
"/blog/battery-backup-sump-pump-canada","general","buzzskito-general-20","6","4","987","7.1","11","425","2264","0.14","0.05","","0"
