query,market,position,volume,cpc_cad,kd,clicks_84d,impr_84d,intent_weight,position_proximity,current_page,priority_score
"no see um bites",US,6.45,19419,0.03,0,2,193,1,3,/blog/no-see-um-bites,2272
"best dehumidifier canada",CA,7.26,809,0.3,10,11,1152,3,3,/blog/best-large-capacity-dehumidifier-canada,2184
"advion cockroach gel",CA,8.39,685,0.5,0,14,772,3,2,/blog/advion-cockroach-gel-bait-canada,2055
"best wasp spray",US,8,2578,0.1,0,0,1,3,2,/blog/best-wasp-nest-spray-canada,2011
"bug zapper",CA,12.93,2179,0.15,45,6,1837,3,2,/blog/bug-zappers-canada-do-they-work,1961
"laser mosquito killer",CA,5.84,200,0.9,,29,1964,3,3,/blog/laser-mosquito-killer-photon-matrix-review,1620
"mosquito dunks canada",CA,7.45,700,0.25,0,78,6458,3,3,/blog/mosquito-dunks-canada-guide,1575
"rat traps",CA,16.09,2310,0.2,1,0,553,3,1,/blog/best-rat-trap-canada,1386
"black fly",CA,7.59,4125,0.1,13,1,2307,1,3,/blog/black-flies-ontario-when-they-come-out,1238
"flowtron bug zapper",US,6,417,0.25,0,0,1,3,3,/blog/flowtron-bug-zapper-canada,1220
"best dehumidifier for basement canada",CA,7.7,301,0.4,13,8,516,3,3,/blog/best-dehumidifier-for-basement-canada,1084
"advion cockroach gel bait canada",CA,5.26,320,0.35,0,15,488,3,3,/blog/advion-cockroach-gel-bait-canada,1008
"mosquito spray for yard safe for dogs",US,10.05,200,0.6,2,2,303,3,2,/blog/is-mosquito-spray-safe-kids-pets,936
"permethrin spray",CA,9.03,773,0.2,10,40,4704,3,2,/blog/permethrin-canada-yard-clothing-spray,928
"best mosquito repellent",CA,5.38,455,0.2,5,32,1414,3,3,/blog/mosquito-repellent-guide-ontario-2026,819
"what do chigger bites look like",US,9.25,9859,0.03,28,2,137,1,2,/blog/chigger-bites,769
"thermacell canada",CA,8.44,583,0.2,3,0,604,3,2,/blog/thermacell-canada-where-to-buy,700
"black flies",CA,5.22,2185,0.1,1,4,2255,1,3,/blog/black-flies-ontario-when-they-come-out,656
"mosquito hawk",US,19.24,16046,0.03,0,0,76,1,1,/blog/mosquito-hawk-explained,626
"best wasp trap",CA,9.33,499,0.2,0,7,575,3,2,/blog/best-wasp-trap-canada,599
"dynatrap",CA,10.19,327,0.3,1,20,5985,3,2,/blog/dynatrap-canada-review,589
"mosquito dunks canadian tire",CA,6.17,600,0.1,0,32,3525,3,3,/blog/mosquito-dunks-canada-guide,540
"best fruit fly trap",CA,7.67,2818,0.02,2,10,1920,3,3,/blog/best-fruit-fly-trap-canada,507
"what time are mosquitoes most active",US,5.99,343,0.35,5,2,519,1,3,/blog/when-are-mosquitoes-most-active,468
"spider bites look like",US,10.8,6006,0.03,10,0,5,1,2,/blog/what-does-a-spider-bite-look-like,468
"mosquito fogger",CA,8.78,300,0.25,0,37,3525,3,2,/blog/mosquito-fogger-canada,450
"earwig traps",CA,9.47,363,0.2,0,0,137,3,2,/blog/best-earwig-killer-canada,436
"bed bug flea bites on humans",US,19.75,10890,0.03,36,0,12,1,1,/blog/flea-bites-on-humans,425
"tick vs bed bug",US,10.3,5005,0.01,0,0,948,1.5,2,/blog/tick-vs-bed-bug,390
"do tiki torches keep mosquitoes away",US,8.09,241,0.6,0,0,396,1,2,/blog/do-tiki-torches-repel-mosquitoes,376
"noseeums",CA,9.12,622,0.3,4,1,1341,1,2,/blog/no-see-ums-biting-midges-ontario,373
"how long do chigger bites last",US,9.02,7035,0.02,31,3,133,1,2,/blog/chigger-bites,366
"red ticks",US,7.37,1150,0.08,34,2,1789,1,3,/blog/red-ticks-and-clover-mites,359
"when are mosquitoes most active",US,6.59,2996,0.03,9,7,2436,1,3,/blog/when-are-mosquitoes-most-active,351
"when are mosquitoes least active",US,7.12,561,0.15,13,0,488,1,3,/blog/when-are-mosquitoes-most-active,328
"mosquito magnet",CA,9.67,360,0.15,0,17,2294,3,2,/blog/mosquito-magnet-canada,324
"electric fly swatter",CA,10.61,959,0.15,2,8,1217,1,2,/blog/electric-fly-swatter-canada,288
"bed bug vs tick",US,9.11,3443,0.01,0,0,517,1.5,2,/blog/tick-vs-bed-bug,269
"mosquito net",CA,11.01,660,0.2,0,0,1708,1,2,/blog/mosquito-net-canada,264
"screen tent",CA,13.78,869,0.15,0,2,772,1,2,/blog/best-screen-tent-canada,261
"ground wasps",CA,9.07,635,0.2,0,3,808,1,2,/blog/how-to-get-rid-of-ground-wasps-canada,254
"what blood type do mosquitoes like",US,19.64,9202,0.01,0,0,22,1,1,/blog/what-blood-type-do-mosquitoes-bite,239
"mosquito laser",CA,9.09,300,0.35,,11,687,1,2,/blog/laser-mosquito-killer-photon-matrix-review,210
"deer fly",CA,8.39,1961,0.05,14,1,1727,1,2,/blog/deer-flies-horse-flies-ontario,196
"motion activated sprinkler",CA,8.52,485,0.2,0,5,560,1,2,/blog/motion-activated-sprinkler-canada,194
"wasp nest spray",CA,8.36,307,0.1,0,2,759,3,2,/blog/best-wasp-nest-spray-canada,184
"dangerous animals in canada",CA,7.42,243,0.25,0,3,248,1,3,/deadliest-animal-in-canada,182
"silverfish traps",CA,10.33,1002,0.03,0,3,615,3,2,/blog/best-silverfish-traps-canada,180
"most dangerous animal in canada",CA,5.72,230,0.25,0,2,593,1,3,/deadliest-animal-in-canada,173
"deer flies",CA,8.22,416,0.2,6,0,540,1,2,/blog/deer-flies-horse-flies-ontario,166
"tick bite vs mosquito bite",US,6.74,715,0.03,5,7,1701,1.5,3,/blog/tick-bite-vs-mosquito-bite,125
"mosquito bite vs tick bite",US,7.77,631,0.03,87,8,905,1.5,3,/blog/tick-bite-vs-mosquito-bite,111
"what temperature do mosquitoes die",US,8.1,2095,0.02,1,0,371,1,2,/blog/what-temperature-kills-mosquitoes,109
"ticks vs bed bugs",US,11.14,1293,0.02,0,1,651,1.5,2,/blog/tick-vs-bed-bug,101
"at what temperature do mosquitoes die",US,9.22,1874,0.02,2,0,476,1,2,/blog/what-temperature-kills-mosquitoes,97
"what temperature kills mosquitoes",US,7.8,1245,0.02,1,0,360,1,3,/blog/what-temperature-kills-mosquitoes,97
"baby bed bugs",CA,6.4,1618,0,5,1,667,1,3,/blog/baby-bed-bugs-nymphs-canada,97
"natural mosquito repellent",CA,5.91,340,0.03,3,12,1917,3,3,/blog/natural-mosquito-repellent-ontario,92
"what does a spider bite look like",CA,8.55,2263,0.01,1,1,539,1,2,/blog/what-does-a-spider-bite-look-like,91
"blackflies",CA,7.99,269,0.1,0,1,749,1,3,/blog/black-flies-ontario-when-they-come-out,81
"what does mosquito larvae look like",US,9,1540,0.02,0,3,1469,1,2,/blog/mosquito-larvae-identification,80
"what does mouse poop look like",CA,7.02,1197,0.01,0,1,508,1,3,/blog/what-does-mouse-poop-look-like-canada,72
"what do mosquito larvae look like",US,8.41,1352,0.02,4,6,1115,1,2,/blog/mosquito-larvae-identification,70
"do mosquitoes come out during the day",US,8.33,297,0.09,4,0,132,1,2,/blog/when-are-mosquitoes-most-active,69
"small red tick",US,6.88,444,0.04,8,0,460,1,3,/blog/red-ticks-and-clover-mites,69
"how long do chigger bites itch",US,11.19,741,0.03,14,1,274,1,2,/blog/chigger-bites,58
"bug that looks like a tick",US,9.05,208,0.08,0,4,387,1,2,/blog/bugs-that-look-like-ticks,43
"baby tick",CA,5.88,700,0,16,1,482,1,3,/blog/baby-ticks-nymphs-seed-ticks-ontario,42
"red tick",CA,7.24,391,0.03,42,4,966,1,3,/blog/red-ticks-and-clover-mites,35
"tiny red tick",US,5.19,211,0.04,0,5,527,1,3,/blog/red-ticks-and-clover-mites,33
"tick vs mosquito bite",US,7.66,272,0.02,0,2,761,1.5,3,/blog/tick-bite-vs-mosquito-bite,32
"how to get rid of ground wasps",CA,6.19,338,0.03,0,13,633,1,3,/blog/how-to-get-rid-of-ground-wasps-canada,30
"are mosquitoes active at night",US,8.03,561,0,0,0,149,1,2,/blog/when-are-mosquitoes-most-active,29
"what eats ticks",CA,10.2,448,0.03,2,1,467,1,2,/blog/what-eats-ticks-and-mosquitoes,27
"male vs female mosquito",CA,9,455,0,0,0,470,1.5,2,/blog/male-vs-female-mosquito,27
"spider bite vs mosquito bite",CA,7.53,290,0.02,1,0,437,1.5,3,/blog/mosquito-bite-vs-spider-bite,26
"can ticks drown",US,9.84,482,0.02,0,1,604,1,2,/blog/can-ticks-fly-jump-swim,25
"deer fly bite",CA,8.97,628,0.02,6,10,4282,1,2,/blog/horse-fly-and-deer-fly-bite-treatment,25
"bugs that look like ticks",CA,7.34,382,0.02,0,9,1563,1,3,/blog/bugs-that-look-like-ticks,23
"how long can a tick live without a host",US,14.93,781,0.02,52,0,331,1,1,/blog/how-long-do-ticks-live,20
"how long do mosquito bites last",CA,9.87,465,0.02,67,0,2370,1,2,/blog/why-do-mosquito-bites-itch,19
"tick vs beetle",US,9.79,237,0,0,1,504,1.5,2,/blog/bugs-that-look-like-ticks,18
"baby ticks",CA,8.92,400,0,3,1,287,1,2,/blog/baby-ticks-nymphs-seed-ticks-ontario,16
"can ticks swim",US,8.1,282,0,3,0,695,1,2,/blog/can-ticks-fly-jump-swim,15
"tick map ontario 2026",CA,6.48,200,0,,45,1492,1,3,/blog/ultimate-tick-control-guide-ontario,12
"can mosquitoes bite through clothes",CA,10.12,200,0,1,0,231,1,2,/blog/can-mosquitoes-bite-through-clothes,8
"how long does a mosquito bite last",CA,9.37,200,0.01,57,0,386,1,2,/blog/why-do-mosquito-bites-itch,8
